size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,greedy_nearest,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.845948,281.941724,1336.074931,0.0,0.0,30840.03183,0.285714,0,0.000685,690.4005536432002,0.0,0.0
M,0,30,15,2,2,0,medium,ga,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,genetic_order_search,918.0,50.0,30.0,0.0,4323.128288,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.179173,198.598658,1336.074931,0.0,0.0,19754.920207,1.0,0,0.016124,833.5155566432,0.0,0.0
M,0,30,15,2,2,0,medium,aco,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,ant_colony_order_search,1200.0,50.0,0.0,24.0,3650.001098,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.470346,230.843575,1336.074931,0.0,0.0,19757.859018,1.0,0,0.036445,833.8067296432,0.0,0.0
M,0,30,15,2,2,0,medium,alns_fixed,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,False,0.0,87.0,21.0,13.0,18.0,101.0,30.0,500.0,17.0,20.0,16.0,21.0,26.0,36.0,22.0,19.0,23.0,63.720259,227.42053,1336.074931,0.0,0.0,30110.45371,0.142857,0,0.019231,667.1520136432002,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.179173,198.598658,1336.074931,0.0,0.0,19754.920207,1.0,0,0.004856,833.5155566432,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_uq,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.179173,198.598658,1336.074931,0.0,0.0,19754.920207,1.0,0,0.005066,833.5155566432,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,True,0.25,75.0,15.0,25.0,5.0,101.0,30.0,500.0,28.0,13.0,17.0,19.0,23.0,42.0,29.0,14.0,15.0,59.344569,250.112202,1336.074931,0.0,0.0,19415.57366,0.857143,0,0.021772,826.9175296432,0.0,0.0
M,0,30,15,2,2,1,medium,greedy_nearest,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.576724,227.861812,1301.857374,0.0,0.0,24698.671101,0.285714,0,0.000675,671.1781773456,0.0,0.0
M,0,30,15,2,2,1,medium,ga,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,genetic_order_search,952.0,50.0,30.0,0.0,4097.04087,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.697349,310.643265,1301.56269,0.0,0.0,15823.198361,1.0,0,0.017383,763.9039791856,0.0,0.0
M,0,30,15,2,2,1,medium,aco,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,ant_colony_order_search,1200.0,50.0,0.0,24.0,3458.131884,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.697349,310.643265,1301.56269,0.0,0.0,15823.198361,1.0,0,0.031849,763.9039791856,0.0,0.0
M,0,30,15,2,2,1,medium,alns_fixed,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,False,0.0,92.0,27.0,8.0,16.0,101.0,30.0,500.0,22.0,22.0,23.0,22.0,11.0,30.0,30.0,27.0,13.0,61.937744,286.708752,1301.857374,0.0,0.0,23861.068124,0.285714,0,0.017945,659.5699693456,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.780205,312.299234,1301.56269,0.0,0.0,15825.606479,1.0,0,0.004807,763.7775971856,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_uq,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.16549,265.58936,1301.56269,0.0,0.0,15835.720204,1.0,0,0.007778,764.1628821856,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,True,0.25,76.0,9.0,24.0,2.0,101.0,30.0,500.0,20.0,26.0,21.0,16.0,17.0,30.0,32.0,10.0,28.0,62.368457,310.057742,1301.56269,0.0,0.0,15727.462719,1.0,0,0.025111,761.1576581855999,0.0,0.0
M,0,30,15,2,2,2,medium,greedy_nearest,kmeans,3,M30_P15_seed2_medium_kmeans15,not_milp,450,90,0.8,59,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.296751,250.22823,1329.217222,0.0,0.0,30452.055036,0.285714,0,0.001384,723.3595941296003,0.0,0.0
M,0,30,15,2,2,2,medium,ga,kmeans,3,M30_P15_seed2_medium_kmeans15,not_milp,450,90,0.8,59,genetic_order_search,958.0,50.0,30.0,0.0,4139.137826,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.966593,239.425101,1329.217222,0.0,0.0,19694.064952,1.0,0,0.022415,874.0103401296001,0.0,0.0
M,0,30,15,2,2,2,medium,aco,kmeans,3,M30_P15_seed2_medium_kmeans15,not_milp,450,90,0.8,59,ant_colony_order_search,1200.0,50.0,0.0,24.0,3496.106415,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.966593,239.425101,1329.217222,0.0,0.0,19694.064952,1.0,0,0.042598,874.0103401296001,0.0,0.0
